energy (MeV),pC/MeV,pC/MeV norm,CDF
1,1103.129491,0.001479159,0.001479159
1.011167776,1101.513741,0.001476992,0.002956151
1.022335552,1099.900414,0.001474829,0.004430979
1.033503328,1098.289506,0.001472669,0.005903648
1.044671104,1096.681013,0.001470512,0.00737416
1.05583888,1095.074933,0.001468358,0.008842519
1.067006656,1093.47126,0.001466208,0.010308727
1.078174432,1091.869993,0.001464061,0.011772788
1.089342209,1090.271126,0.001461917,0.013234705
1.100509985,1088.674656,0.001459776,0.014694481
1.111677761,1087.080581,0.001457639,0.01615212
1.122845537,1085.488895,0.001455505,0.017607625
1.134013313,1083.899596,0.001453374,0.019060999
1.145181089,1082.31268,0.001451246,0.020512244
1.156348865,1080.728143,0.001449121,0.021961366
1.167516641,1079.145982,0.001447,0.023408365
1.178684417,1077.566193,0.001444881,0.024853247
1.189852193,1075.988773,0.001442766,0.026296013
1.201019969,1074.413717,0.001440654,0.027736667
1.212187745,1072.841023,0.001438546,0.029175213
1.223355521,1071.270687,0.00143644,0.030611653
1.234523297,1069.702706,0.001434337,0.03204599
1.245691073,1068.137075,0.001432238,0.033478228
1.25685885,1066.573791,0.001430142,0.03490837
1.268026626,1065.012851,0.001428049,0.036336419
1.279194402,1063.454251,0.001425959,0.037762378
1.290362178,1061.897988,0.001423872,0.03918625
1.301529954,1060.344058,0.001421789,0.040608039
1.31269773,1058.792457,0.001419708,0.042027747
1.323865506,1057.243183,0.001417631,0.043445378
1.335033282,1055.696231,0.001415557,0.044860935
1.346201058,1054.151598,0.001413485,0.04627442
1.357368834,1052.60928,0.001411417,0.047685837
1.36853661,1051.069275,0.001409352,0.04909519
1.379704386,1049.531578,0.00140729,0.05050248
1.390872162,1047.996186,0.001405232,0.051907712
1.402039938,1046.463096,0.001403176,0.053310888
1.413207714,1044.932304,0.001401123,0.054712011
1.424375491,1043.403807,0.001399074,0.056111085
1.435543267,1041.877601,0.001397027,0.057508113
1.446711043,1040.353683,0.001394984,0.058903097
1.457878819,1038.832049,0.001392944,0.06029604
1.469046595,1037.312696,0.001390906,0.061686947
1.480214371,1035.79562,0.001388872,0.063075819
1.491382147,1034.280818,0.001386841,0.06446266
1.502549923,1032.768287,0.001384813,0.065847473
1.513717699,1031.258023,0.001382788,0.067230261
1.524885475,1029.750023,0.001380766,0.068611027
1.536053251,1028.244283,0.001378747,0.069989774
1.547221027,1026.740799,0.001376731,0.071366505
1.558388803,1025.23957,0.001374718,0.072741223
1.569556579,1023.74059,0.001372708,0.074113931
1.580724355,1022.243857,0.001370701,0.075484632
1.591892132,1020.749368,0.001368697,0.076853329
1.603059908,1019.257118,0.001366696,0.078220025
1.614227684,1017.767105,0.001364698,0.079584724
1.62539546,1016.279325,0.001362703,0.080947427
1.636563236,1014.793775,0.001360711,0.082308138
1.647731012,1013.310451,0.001358722,0.083666861
1.658898788,1011.82935,0.001356737,0.085023597
1.670066564,1010.350469,0.001354754,0.086378351
1.68123434,1008.873805,0.001352773,0.087731124
1.692402116,1007.399353,0.001350796,0.089081921
1.703569892,1005.927111,0.001348822,0.090430743
1.714737668,1004.457076,0.001346851,0.091777594
1.725905444,1002.989243,0.001344883,0.093122477
1.73707322,1001.52361,0.001342918,0.094465395
1.748240996,1000.060174,0.001340956,0.095806351
1.759408773,998.5989307,0.001338996,0.097145347
1.770576549,997.1398772,0.00133704,0.098482387
1.781744325,995.6830101,0.001335086,0.099817473
1.792912101,994.2283262,0.001333136,0.101150609
1.804079877,992.7758222,0.001331188,0.102481797
1.815247653,991.3254948,0.001329243,0.10381104
1.826415429,989.8773406,0.001327302,0.105138342
1.837583205,988.4313566,0.001325363,0.106463705
1.848750981,986.9875392,0.001323427,0.107787131
1.859918757,985.5458854,0.001321494,0.109108625
1.871086533,984.1063918,0.001319563,0.110428188
1.882254309,982.6690551,0.001317636,0.111745825
1.893422085,981.2338722,0.001315712,0.113061536
1.904589861,979.8008397,0.00131379,0.114375327
1.915757637,978.3699545,0.001311872,0.115687198
1.926925413,976.9412132,0.001309956,0.116997154
1.93809319,975.5146127,0.001308043,0.118305197
1.949260966,974.0901497,0.001306133,0.11961133
1.960428742,972.667821,0.001304226,0.120915556
1.971596518,971.2476234,0.001302321,0.122217878
1.982764294,969.8295537,0.00130042,0.123518298
1.99393207,968.4136086,0.001298521,0.124816819
2.005099846,966.999785,0.001296626,0.126113445
2.016267622,965.5880796,0.001294733,0.127408177
2.027435398,964.1784892,0.001292843,0.12870102
2.038603174,962.7710108,0.001290955,0.129991976
2.04977095,961.365641,0.001289071,0.131281046
2.060938726,959.9623767,0.001287189,0.132568236
2.072106502,958.5612148,0.001285311,0.133853546
2.083274278,957.162152,0.001283435,0.135136981
2.094442054,955.7651852,0.001281561,0.136418543
2.105609831,954.3703112,0.001279691,0.137698234
2.116777607,952.977527,0.001277824,0.138976057
2.127945383,951.5868292,0.001275959,0.140252016
2.139113159,950.1982148,0.001274097,0.141526113
2.150280935,948.8116806,0.001272238,0.142798351
2.161448711,947.4272236,0.001270381,0.144068732
2.172616487,946.0448405,0.001268528,0.14533726
2.183784263,944.6645282,0.001266677,0.146603937
2.194952039,943.2862836,0.001264829,0.147868766
2.206119815,941.9101037,0.001262984,0.149131749
2.217287591,940.5359852,0.001261141,0.15039289
2.228455367,939.1639251,0.001259301,0.151652191
2.239623143,937.7939202,0.001257464,0.152909656
2.250790919,936.4259676,0.00125563,0.154165286
2.261958695,935.060064,0.001253799,0.155419084
2.273126472,933.6962063,0.00125197,0.156671054
2.284294248,932.3343916,0.001250144,0.157921198
2.295462024,930.9746167,0.00124832,0.159169518
2.3066298,929.6168786,0.0012465,0.160416018
2.317797576,928.2611741,0.001244682,0.1616607
2.328965352,926.9075002,0.001242867,0.162903567
2.340133128,925.5558538,0.001241055,0.164144621
2.351300904,924.206232,0.001239245,0.165383866
2.36246868,922.8586315,0.001237438,0.166621304
2.373636456,921.5130495,0.001235634,0.167856938
2.384804232,920.1694827,0.001233832,0.16909077
2.395972008,918.8279283,0.001232033,0.170322803
2.407139784,917.4883832,0.001230237,0.17155304
2.41830756,916.1508442,0.001228444,0.172781484
2.429475336,914.8153085,0.001226653,0.174008137
2.440643113,913.481773,0.001224865,0.175233001
2.451810889,912.1502346,0.001223079,0.176456081
2.462978665,910.8206904,0.001221297,0.177677377
2.474146441,909.4931374,0.001219516,0.178896894
2.485314217,908.1675725,0.001217739,0.180114633
2.496481993,906.8439927,0.001215964,0.181330597
2.507649769,905.5223951,0.001214192,0.182544789
2.518817545,904.2027767,0.001212423,0.183757212
2.529985321,902.8851344,0.001210656,0.184967868
2.541153097,901.5694654,0.001208892,0.18617676
2.552320873,900.2557666,0.00120713,0.18738389
2.563488649,898.944035,0.001205371,0.188589262
2.574656425,897.6342678,0.001203615,0.189792877
2.585824201,896.3264618,0.001201862,0.190994738
2.596991977,895.0206142,0.001200111,0.192194849
2.608159754,893.7167221,0.001198362,0.193393211
2.61932753,892.4147824,0.001196617,0.194589828
2.630495306,891.1147923,0.001194873,0.195784701
2.641663082,889.8167487,0.001193133,0.196977834
2.652830858,888.5206488,0.001191395,0.198169229
2.663998634,887.2264896,0.00118966,0.199358889
2.67516641,885.9342681,0.001187927,0.200546816
2.686334186,884.6439816,0.001186197,0.201733012
2.697501962,883.355627,0.001184469,0.202917482
2.708669738,882.0692014,0.001182744,0.204100226
2.719837514,880.784702,0.001181022,0.205281248
2.73100529,879.5021258,0.001179302,0.20646055
2.742173066,878.22147,0.001177585,0.207638136
2.753340842,876.9427315,0.00117587,0.208814006
2.764508618,875.6659076,0.001174158,0.209988164
2.775676395,874.3909954,0.001172449,0.211160613
2.786844171,873.1179919,0.001170742,0.212331355
2.798011947,871.8468943,0.001169038,0.213500393
2.809179723,870.5776997,0.001167336,0.214667728
2.820347499,869.3104053,0.001165636,0.215833365
2.831515275,868.0450081,0.00116394,0.216997305
2.842683051,866.7815054,0.001162246,0.21815955
2.853850827,865.5198942,0.001160554,0.219320104
2.865018603,864.2601718,0.001158865,0.220478969
2.876186379,863.0023352,0.001157178,0.221636147
2.887354155,861.7463816,0.001155494,0.222791641
2.898521931,860.4923083,0.001153812,0.223945453
2.909689707,859.2401122,0.001152133,0.225097587
2.920857483,857.9897907,0.001150457,0.226248044
2.932025259,856.7413409,0.001148783,0.227396827
2.943193036,855.4947599,0.001147111,0.228543938
2.954360812,854.250045,0.001145442,0.22968938
2.965528588,853.0071933,0.001143776,0.230833156
2.976696364,851.7662021,0.001142112,0.231975268
2.98786414,850.5270684,0.00114045,0.233115718
2.999031916,849.2897896,0.001138791,0.23425451
3.010199692,848.0543628,0.001137135,0.235391645
3.021367468,846.8207853,0.001135481,0.236527125
3.032535244,845.5890542,0.001133829,0.237660954
3.04370302,844.3591667,0.00113218,0.238793134
3.054870796,843.1311201,0.001130533,0.239923668
3.066038572,841.9049116,0.001128889,0.241052557
3.077206348,840.6805385,0.001127247,0.242179804
3.088374124,839.4579979,0.001125608,0.243305412
3.0995419,838.2372871,0.001123971,0.244429383
3.110709677,837.0184034,0.001122337,0.24555172
3.121877453,835.8013439,0.001120705,0.246672425
3.133045229,834.586106,0.001119076,0.247791501
3.144213005,833.3726869,0.001117448,0.248908949
3.155380781,832.1610838,0.001115824,0.250024773
3.166548557,830.9512941,0.001114202,0.251138975
3.177716333,829.7433149,0.001112582,0.252251557
3.188884109,828.5371435,0.001110965,0.253362521
3.200051885,827.3327773,0.00110935,0.254471871
3.211219661,826.1302135,0.001107737,0.255579608
3.222387437,824.9294493,0.001106127,0.256685735
3.233555213,823.7304821,0.001104519,0.257790255
3.244722989,822.5333092,0.001102914,0.258893169
3.255890765,821.3379278,0.001101311,0.25999448
3.267058541,820.1443353,0.001099711,0.261094191
3.278226318,818.952529,0.001098113,0.262192304
3.289394094,817.7625061,0.001096517,0.263288821
3.30056187,816.5742639,0.001094924,0.264383745
3.311729646,815.3877999,0.001093333,0.265477078
3.322897422,814.2031112,0.001091744,0.266568823
3.334065198,813.0201953,0.001090158,0.267658981
3.345232974,811.8390495,0.001088575,0.268747555
3.35640075,810.659671,0.001086993,0.269834549
3.367568526,809.4820573,0.001085414,0.270919963
3.378736302,808.3062056,0.001083837,0.2720038
